iter	TotalF1:average=Macro	MultiClass
89	0.6937030577	0.7017502893
90	0.6938467294	0.7006905212
91	0.6946558708	0.6996320079
92	0.6949325384	0.6988051529
93	0.6951316701	0.698158668
94	0.6959840198	0.6974155558
95	0.6959099749	0.6968830987
96	0.696652348	0.6961360039
97	0.6969087879	0.6954746514
98	0.6968012329	0.6947538157
99	0.6974718297	0.6939242027
100	0.6976244464	0.6932259696
101	0.6980505863	0.6918195554
102	0.6983349569	0.6908139678
103	0.6993657178	0.6899108153
104	0.6994382869	0.6889456627
105	0.6993768566	0.6880816685
106	0.6998632305	0.6875999106
107	0.7005003091	0.6868721354
108	0.7005637399	0.6858668132
109	0.7012883427	0.6849073804
110	0.7020576043	0.6841606911
111	0.7016746121	0.6837871539
112	0.7019588359	0.6826886552
113	0.7027304909	0.6811660277
114	0.7035027357	0.6806143402
115	0.7036595906	0.6799709685
116	0.7037203929	0.6795128788
117	0.7036765789	0.678388859
118	0.7043561012	0.6777989609
119	0.7046561599	0.6773119973
120	0.7045490687	0.6768581572
121	0.7050511278	0.6762477917
122	0.7052320712	0.6757479977
123	0.7055737347	0.6753329127
124	0.7056376686	0.6746549331
125	0.705848762	0.6741965231
126	0.7057452209	0.6737531442
127	0.7061843791	0.6733668369
128	0.7067580734	0.6730143902
129	0.7071300926	0.67258925
130	0.707442065	0.6720942158
131	0.7075488325	0.6715111421
132	0.7075112359	0.6711354107
133	0.7081820814	0.6706219394
134	0.7082607324	0.6702761142
135	0.7083389719	0.6697620536
136	0.7081912658	0.6693480983
137	0.7087798834	0.668787877
138	0.7093232254	0.6678638437
139	0.709607267	0.6668139675
140	0.7098264259	0.6663439332
141	0.7108934149	0.6649542469
142	0.7110299142	0.664653932
143	0.7112794675	0.6640601126
144	0.7112968301	0.6635988916
145	0.7115007386	0.6631946373
146	0.7119048042	0.6622807557
147	0.7124908277	0.6616685246
148	0.7130631344	0.66093406
149	0.7134106418	0.6605713669
150	0.7135241169	0.6600685447
151	0.7135367553	0.6596088176
152	0.7137868327	0.6590390644
